AoA,C_l_ram,C_d_ram,C_l_wake,C_d_wake
0.0,0.029375455865880053,0.022969020659585695,-0.029378384156817424,0.02297629623491647
1.0,0.03744653397916193,0.030077008031983658,-0.022581769463367127,0.01715605130997958
2.0,0.04676451963863769,0.03856305167352887,-0.016968151470336243,0.01254582062141745
3.0,0.057404341130666836,0.04854929568601092,-0.01244664187162758,0.00895691409660611
4.0,0.06919266608068343,0.06014808440705376,-0.008919427703942192,0.0062266826330858146
5.0,0.08212251266258373,0.07314780800754385,-0.006233847764910955,0.004238236135911338
6.0,0.09614463027253599,0.08799688892700162,-0.004233793180994701,0.0027868480792328535
7.0,0.11090224676524468,0.10443571628556508,-0.0028118872726789956,0.001797023878546151
8.0,0.1266385324072098,0.12234389079157454,-0.0018131281021085317,0.0011249584555471969
9.0,0.14282916729064876,0.1416787004846276,-0.0011376902756256276,0.0006830145502935161
10.0,0.1598068374811365,0.16317476622662366,-0.0006940228943824426,0.0004035930401212204
11.0,0.17689225496024982,0.18577634390808562,-0.00041087516428886485,0.00023138091771309768
12.0,0.194230986648961,0.21003544017403059,-0.00023678305335736232,0.00012899343045711905
13.0,0.21179290199999745,0.2355906347746857,-0.0001326922818745899,6.969612850515849e-5
14.0,0.22943713713075153,0.2631233086802303,-7.226558206913866e-5,3.6692018672433276e-5
15.0,0.24705977627722395,0.29145141442678263,-3.815481834395366e-5,1.8635298055979224e-5
16.0,0.26424833265906156,0.3221206684262991,-1.9635194756026604e-5,9.260921199680112e-6
17.0,0.28131952391057174,0.3539100361048616,-9.80465668339313e-6,4.444262475760161e-6
18.0,0.2980000739628811,0.3869312618015575,-4.7756256917403125e-6,2.0826096995539247e-6
19.0,0.31387865573277646,0.42157154099890026,-2.2613951882816338e-6,9.471573877076285e-7
20.0,0.32972193656589444,0.45710852686806114,-1.0434471245759262e-6,4.1983485294064734e-7
21.0,0.34466006123065485,0.49469238786226427,-4.6938002197060463e-7,1.808917290768512e-7
22.0,0.35949355646569164,0.5321869142247728,-2.0602634414549633e-7,7.58676093812265e-8
23.0,0.37308296669454055,0.5720090084339461,-1.2268669087598713e-7,-1.144070030569634e-8
24.0,0.38625954050698863,0.6116592499656929,-0.0,-0.0
25.0,0.3982815340589537,0.6533746424270191,-0.0,-0.0
26.0,0.40931279778099583,0.6957754658258896,-0.0,-0.0
27.0,0.42005343085786284,0.7379043331127854,-0.0,-0.0
28.0,0.4296496616737772,0.7813573021433402,-0.0,-0.0
29.0,0.43822100969920064,0.8258663198536258,-0.0,-0.0
30.0,0.44607073527539004,0.8707098142067964,-0.0,-0.0
31.0,0.45244453812954266,0.9151865758397787,-0.0,-0.0
32.0,0.45934972264471735,0.9601913358846619,-0.0,-0.0
33.0,0.4643002768133419,1.005679708457244,-0.0,-0.0
34.0,0.46822726094239364,1.0513961128618257,-0.0,-0.0
35.0,0.4722873880740148,1.0964905046585396,-0.0,-0.0
36.0,0.4746389608847326,1.142143098088083,-0.0,-0.0
37.0,0.4760162135558514,1.1875472626936703,-0.0,-0.0
38.0,0.47689006475992307,1.233718882263641,-0.0,-0.0
39.0,0.47769102097792093,1.277404819942964,-0.0,-0.0
40.0,0.4762267010072548,1.3235372269954802,-0.0,-0.0
41.0,0.47479871877685054,1.3672539686876628,-0.0,-0.0
42.0,0.4732989982656917,1.411316747918407,-0.0,-0.0
43.0,0.4701640718337886,1.4551932394155371,-0.0,-0.0
44.0,0.4669765781967516,1.497500409160734,-0.0,-0.0
45.0,0.4631027103232773,1.5409327076165784,-0.0,-0.0
46.0,0.4571652020311126,1.5828311439483964,-0.0,-0.0
47.0,0.45264929906200907,1.6242744287603463,-0.0,-0.0
48.0,0.44739112540185616,1.6651203645802328,-0.0,-0.0
49.0,0.43958599471038956,1.705667057431269,-0.0,-0.0
50.0,0.4342712095802754,1.7446488116052525,-0.0,-0.0
51.0,0.4266670847539333,1.7831948808926865,-0.0,-0.0
52.0,0.41898786636135243,1.821123833476282,-0.0,-0.0
53.0,0.4112912802852413,1.8578581950664466,-0.0,-0.0
54.0,0.4036235031640186,1.8941443562051157,-0.0,-0.0
55.0,0.394665054073772,1.9296155669195978,-0.0,-0.0
56.0,0.38568253276254244,1.9645315668519636,-0.0,-0.0
57.0,0.3771976749704962,1.9979623703825984,-0.0,-0.0
58.0,0.3671189655975356,2.0304659082851684,-0.0,-0.0
59.0,0.3576242177938485,2.0627246828798804,-0.0,-0.0
60.0,0.34854716752414217,2.0939751932232724,-0.0,-0.0
61.0,0.33900099681128015,2.123125150767951,-0.0,-0.0
62.0,0.328416874155361,2.1524037377852903,-0.0,-0.0
63.0,0.31776712173774213,2.180380285589894,-0.0,-0.0
64.0,0.30695318211286526,2.2071318911752145,-0.0,-0.0
65.0,0.29653761969813747,2.2330139408016856,-0.0,-0.0
66.0,0.28548088047760317,2.258099333648644,-0.0,-0.0
67.0,0.2746437381428266,2.2825690133729113,-0.0,-0.0
68.0,0.2642057457470637,2.3046216917632223,-0.0,-0.0
69.0,0.25194845822957906,2.328122664586785,-0.0,-0.0
70.0,0.24141085903729675,2.3491535027947688,-0.0,-0.0
71.0,0.22870598882269558,2.368995035598637,-0.0,-0.0
72.0,0.21712151469569296,2.3880087816989475,-0.0,-0.0
73.0,0.2053366086865225,2.405808341766528,-0.0,-0.0
74.0,0.19480680323406824,2.422771310394834,-0.0,-0.0
75.0,0.1817632447055411,2.4382329627474544,-0.0,-0.0
76.0,0.17069865280410315,2.453005625057659,-0.0,-0.0
77.0,0.15771177232683145,2.467008910963511,-0.0,-0.0
78.0,0.14574927243496177,2.4797709558785943,-0.0,-0.0
79.0,0.13371393972199438,2.4904387852679815,-0.0,-0.0
80.0,0.12126082732816575,2.5015214322331425,-0.0,-0.0
81.0,0.10956480376885316,2.509852527436894,-0.0,-0.0
82.0,0.09740787903682896,2.5193332065676555,-0.0,-0.0
83.0,0.0852682985929166,2.5265525460864113,-0.0,-0.0
84.0,0.07252338666147275,2.5325016593663263,-0.0,-0.0
85.0,0.060360198532591204,2.53864904568156,-0.0,-0.0
